"Name","Link","Ingredients","Main Spirit","Flavor","Rating","Ratings Count","Color","Occasion"
"Knob Creek Rye Old Fashioned","https://www.thecocktailproject.com/drink-recipes/knob-creek-rye-old-fashioned","Knob Creek Straight Rye Whiskey, Angostura Bitters, Knob Creek Straight Rye Whiskey, Angostura Bitters, Demerara Syrup*, Lemon Peel","Bourbon","Sweet",3,42,"['brown']","['fall', 'holiday', 'thanksgiving']"
"Tres Gen Paloma","https://www.thecocktailproject.com/drink-recipes/tres-gen-tequila-paloma","Tres Generaciones Plata Tequila, Grapefruit Soda, Tres Generaciones Plata Tequila, Grapefruit Soda, Lime Juice, Grapefruit Peel","Tequila","Refreshing",3,32,"['pink']","['summer']"
"Sipsmith Martini","https://www.thecocktailproject.com/drink-recipes/sipsmith-martini","Sipsmith London Dry Gin, Vermouth, Sipsmith London Dry Gin, Vermouth, Lemon Twist","Gin","Savory",3,47,"['yellow']","['fall', 'holiday', 'thanksgiving']"
"Kilbeggan Irish Coffee","https://www.thecocktailproject.com/drink-recipes/irish-coffee","Kilbeggan Single Grain Irish Whiskey, Coffee, Kilbeggan Single Grain Irish Whiskey, Coffee","Irish Whiskey","Hot",4,20,"['brown']","['brunch', 'christmas', 'spring', 'winter']"
"Pinnacle Black Widow Martini","https://www.thecocktailproject.com/drink-recipes/black-widow-martini","Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice","Vodka",NA,3,31,"['red']","['fall', 'halloween']"
"Toki Highball","https://www.thecocktailproject.com/drink-recipes/toki-highball","Suntory Whisky Toki, Fever-Tree Club Soda, Suntory Whisky Toki, Fever-Tree Club Soda, Grapefruit Peel","Whiskey","Refreshing",3,51,"['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Roku Gin Sonic","https://www.thecocktailproject.com/drink-recipes/roku-gin-sonic","Suntory Roku Gin, Soda Water, Suntory Roku Gin, Soda Water, Tonic Water, Lemon Peel","Gin","Refreshing",3,70,"['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Courvoisier Gala","https://www.thecocktailproject.com/drink-recipes/courvoisier-gala","Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Lemon Wheel","Cognac","Sour",4,28,"['yellow']","['fall', 'spring', 'summer']"
"SQRRL An Apple A Day","https://www.thecocktailproject.com/drink-recipes/sqrrl-apple-day","SQRRL Peanut Butter Whiskey, Apple Cider, SQRRL Peanut Butter Whiskey, Apple Cider, Lemon Juice, Maple Syrup, Cinnamon","Whiskey","Sweet",3,52,"['red']","['christmas', 'fall', 'game-day', 'thanksgiving', 'winter']"
"SQRRL Top Banana","https://www.thecocktailproject.com/drink-recipes/sqrrl-top-banana","SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, Cream, Toasted Coconut","Rum","Fruity",3,37,"['yellow']","['bbq', 'birthday', 'brunch', 'fall', 'summer', 'tropical']"
"Sauza Classic Margarita","https://www.thecocktailproject.com/drink-recipes/classic-margarita","Sauza Silver Tequila, Lime Juice, Sauza Silver Tequila, Lime Juice, DeKuyper Triple Sec Liqueur, Simple Syrup, Lime","Tequila","Sweet",3,78,"['clear']","['summer']"
"Cruzan Safe Harbor","https://www.thecocktailproject.com/drink-recipes/dark-and-stormy","Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Fever-Tree Ginger Beer, Lime Wedge","Rum",NA,3,43,"['brown']","['bbq', 'christmas', 'holiday', 'summer']"
"El Tesoro Paloma","https://www.thecocktailproject.com/drink-recipes/-el-tesoro-paloma","El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, Lime Wedge, Spice Rim (instead of salt), Grapefruit Wedge","Tequila","Refreshing",3,54,"['red']","['bbq', 'christmas', 'holiday', 'summer']"
"SQRRL Carajillo","https://www.thecocktailproject.com/drink-recipes/sqrrl-carajillo","SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, Espresso, Coffee Beans","Tequila","Sweet",3,41,"['brown']","['bbq', 'brunch', 'wedding']"
"SQRRL PB Manhattan","https://www.thecocktailproject.com/drink-recipes/sqrrl-pb-manhattan","SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, Sweet Vermouth, Angostura Bitters, Maraschino Cherries","Whiskey","Sweet",3,59,"['brown']","['bbq', 'holiday', 'winter']"
"Classic Hornitos Paloma","https://www.thecocktailproject.com/drink-recipes/classic-hornitos-paloma","Hornitos Plata Tequila, Pink Grapefruit Juice, Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda","Tequila","Fruity",3,28,"['pink']","['bbq', 'spring', 'summer']"
"Legent Blossom Old Fashioned","https://www.thecocktailproject.com/drink-recipes/legent-blossom-old-fashioned","Legent Bourbon, Sweet Vermouth, Legent Bourbon, Sweet Vermouth, Luxardo Maraschino Liqueur, Angostura Bitters, Orange Peel","Bourbon","Sweet",3,34,"['brown']","['fall', 'winter']"
"Basil Hayden
Boulevardier","https://www.thecocktailproject.com/drink-recipes/basil-hayden-boulevardier","Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Vermouth, Sweet, Orange Peel","Bourbon","Sweet",3,43,"['red']","['fall', 'holiday', 'thanksgiving']"
"Knob Creek Old Fashioned","https://www.thecocktailproject.com/drink-recipes/knob-creek-old-fashioned","Knob Creek, Simple Syrup, Knob Creek, Simple Syrup, Angostura Bitters, Orange Peel, Secrets of Citrus","Bourbon","Sweet",3,57,"['brown']","['fall', 'winter']"
"Pinnacle Peppermint Hot Chocolate","https://www.thecocktailproject.com/drink-recipes/peppermint-hot-chocolate","Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Swiss Miss Milk Chocolate Hot Cocoa, Cherry, Simple Garnishes","Cordials","Sweet",3,36,"['brown']","['christmas', 'holiday', 'winter']"
"Cruzan Coquito","https://www.thecocktailproject.com/drink-recipes/cruzan-coquito","Cruzan Aged Dark Rum, Evaporated Milk, Cruzan Aged Dark Rum, Evaporated Milk, Sweetened Condensed Milk, Cream of Coconut, Cinnamon, Nutmeg, Vanilla Extract, Shredded Coconut","Cordials","Sweet",0,0,"['brown']","['christmas', 'holiday', 'winter']"
"Cruzan Cranberry Cider Punch","https://www.thecocktailproject.com/drink-recipes/cruzan-cranberry-cider-punch","Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Cranberry Juice, Ginger Ale, Lemon Juice, Apple Slices","Rum","Sweet",3,33,"['red']","['christmas', 'fall', 'holiday', 'thanksgiving', 'winter']"
"Pinnacle Holly Jolly Punch","https://www.thecocktailproject.com/drink-recipes/holly-jolly-punch","DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, Cranberry Juice, Ginger Ale, Frozen orange juice concentrate, Cinnamon Allspice, Nutmeg, Cranberries","Cordials","Sweet",3,74,"['red']","['christmas', 'fall', 'holiday', 'thanksgiving', 'winter']"
"Summer Fish Bowl","https://www.thecocktailproject.com/drink-recipes/summer-fish-bowl","Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, Pineapple Juice, Lemon Juice, Lemon Wedge","Cordials","Sweet",3,122,NA,"['bbq', 'summer']"
"Still Steam","https://www.thecocktailproject.com/drink-recipes/still-steam","Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Simple Syrup","Cordials","Sour",3,29,"['yellow']","['fall', 'holiday', 'winter']"
"The Wheel","https://www.thecocktailproject.com/drink-recipes/wheel","Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Lime Juice, Simple Syrup","Irish Whiskey","Sour",3,31,"['orange']","['fall', 'holiday', 'winter']"
"Kilbeggan Brosna Sour","https://www.thecocktailproject.com/drink-recipes/kilbeggan-brosna-sour","Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Grapefruit Juice, Simple Syrup, Egg White","Gin",NA,3,40,"['yellow']","['holiday']"
"Gingerbread Sour","https://www.thecocktailproject.com/drink-recipes/gingerbread-sour","Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Egg White","Gin","Sour",3,41,"['yellow']","['holiday']"
"Negroni","https://www.thecocktailproject.com/drink-recipes/negroni","Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth","Gin","Sour",3,36,"['red']",NA
"Sideline Sipper","https://www.thecocktailproject.com/drink-recipes/sideline-sipper","Lemonade, Lemonade","Cordials","Sweet",3,38,NA,"['game-day']"
"Blue Lagoon","https://www.thecocktailproject.com/drink-recipes/blue-lagoon",NA,"Cordials","Sweet",3,42,NA,"['game-day']"
"Home Team Punch","https://www.thecocktailproject.com/drink-recipes/home-team-punch",NA,"Cordials","Sweet",3,30,NA,"['game-day']"
"Red Zone","https://www.thecocktailproject.com/drink-recipes/red-zone","Cranberry Juice, Cranberry Juice","Cordials","Sweet",3,32,"['red']","['game-day']"
"Sour Apple Highball","https://www.thecocktailproject.com/drink-recipes/sour-apple-highball","Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lemon-Lime Soda","Cordials","Sweet",3,35,"['green']","['game-day']"
"Yellowhammer","https://www.thecocktailproject.com/drink-recipes/yellowhammer","Cruzan Aged Light Rum, Orange Juice, Cruzan Aged Light Rum, Orange Juice, Pineapple Juice","Cordials","Fruity",3,50,"['yellow']","['game-day']"
"Blue Mule","https://www.thecocktailproject.com/drink-recipes/blue-mule","Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice","Cordials","Sweet",3,33,NA,"['game-day']"
"Watermelon Rush","https://www.thecocktailproject.com/drink-recipes/watermelon-rush","Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Cruzan Aged Light Rum, DeKuyper Pucker Watermelon Schnapps, Pineapple Juice, Sour Mix","Cordials","Sour",3,43,"['red']","['game-day']"
"Cubbie Blue","https://www.thecocktailproject.com/drink-recipes/cubbie-blue",NA,"Cordials","Sweet",3,42,NA,"['game-day']"
"Orangesicle","https://www.thecocktailproject.com/drink-recipes/orangesicle","Ice","Cordials","Sweet",3,56,"['orange']","['game-day']"
"Cranberry Mojito","https://www.thecocktailproject.com/drink-recipes/cranberry-mojito","Cruzan Aged Light Rum, Fresh Mint Leaves, Cruzan Aged Light Rum, Fresh Mint Leaves, Lime Juice, Soda Water, Cranberries, Lime Wheel","Rum","Fruity",3,39,"['red']","['christmas', 'fall', 'holiday', 'winter']"
"Blue Flurry","https://www.thecocktailproject.com/drink-recipes/blue-flurry","Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pineapple Juice, Cream of Coconut, Ice, Shredded Coconut","Cordials","Frozen",3,30,NA,"['christmas', 'fall', 'holiday', 'new-years', 'thanksgiving', 'winter']"
"Bourbon Cider Sour","https://www.thecocktailproject.com/drink-recipes/bourbon-cider-sour","Jim Beam, Apple Cider, Jim Beam, Apple Cider, Orange Juice, Simple Syrup, Apple Slices","Bourbon","Fruity",3,55,"['orange']","['fall', 'thanksgiving']"
"Laphroaig Blood Mary Queen of Scots","https://www.thecocktailproject.com/drink-recipes/laphroaig-blood-mary-queen-scots","Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Bloody Mary Mix, Laphroaig 10 Year Old Whisky, Pepper, Black","Scotch","Savory",3,25,"['red']","['brunch', 'fall']"
"Pumpkin Spice White Russian","https://www.thecocktailproject.com/drink-recipes/pumpkin-spice-white-russian","Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Kamora Coffee Liqueur, Pinnacle Whipped Vodka, Pumpkin Spice Flavored Liquid Coffee Creamer, Milk, Pumpkin Puree, Pumpkin Spice","Cordials","Sweet",3,20,"['brown']","['fall']"
"Glasgow Seelbach","https://www.thecocktailproject.com/drink-recipes/glasgow-seelbach","Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Auchentoshan American Oak Single Malt Scotch Whisky, Angostura Bitters, Peychaud's Bitters, Champagne, Lemon Twist","Champagne","Sweet",3,27,"['yellow']","['fall']"
"Bobby Burns","https://www.thecocktailproject.com/drink-recipes/bobby-burns","Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan American Oak Single Malt Scotch Whisky, Sweet Vermouth, Orange Peel","Scotch","Savory",3,35,"['brown']","['fall']"
"Rob Roy","https://www.thecocktailproject.com/drink-recipes/rob-roy","Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Auchentoshan Three Wood Single Malt Scotch Whisky, Sweet Vermouth, Angostura Bitters, Maraschino Cherries, Lemon Peel","Scotch",NA,3,28,"['brown']","['fall']"
"Zombie","https://www.thecocktailproject.com/drink-recipes/zombie","Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan Aged Light Rum, Cruzan Aged Dark Rum, Cruzan 151 Rum, Apricot Liqueur, Orange Juice, Lime Bitters, Orange Peel, Cherries","Rum","Fruity",3,37,"['orange']","['fall', 'halloween']"
"Berry White","https://www.thecocktailproject.com/drink-recipes/berry-white","Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Auchentoshan American Oak Single Malt Scotch Whisky, Lemon Juice, Wheat Beer, Rhubarb Bitters","Beer","Fruity",3,27,"['brown']","['bbq', 'fall', 'game-day', 'thanksgiving']"
"Laphroaig Land and Sea","https://www.thecocktailproject.com/drink-recipes/laphroaig-land-and-sea","Laphroaig Select, Angostura Bitters, Laphroaig Select, Angostura Bitters, Orange Twist, Better With Bitters","Whiskey","Fruity",3,25,"['brown']","['fall', 'thanksgiving']"
"Laphroaig Broadbay Sour","https://www.thecocktailproject.com/drink-recipes/laphroaig-broadbay-sour","Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Cinnamon Stick, Orange Peel","Whiskey","Fruity",3,44,NA,"['fall']"
"Laphroaig Back Yard Collins","https://www.thecocktailproject.com/drink-recipes/laphroaig-back-yard-collins","Laphroaig Select, Lemon Juice, Laphroaig Select, Lemon Juice, Orange Juice, Angostura Bitters, Lager, Lemon Wheel","Beer","Fruity",2,32,"['brown']","['bbq', 'fall']"
"Prickly Pink Margarita","https://www.thecocktailproject.com/drink-recipes/prickly-pink-margarita","Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Limeade","Tequila","Fruity",3,37,"['pink']","['fall', 'spring', 'summer', 'tropical']"
